sensor01,sensor02,sensor03,sensor04,sensor05,sensor06,sensor07,sensor08,sensor09,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,testResult,status
387.27619,635.952381,483.619048,539.733333,72.67619,55.295238,78.152381,46.07619,-495.72381,-588.047619,-534.380952,-640.266667,-56.32381,-48.704762,-83.847619,-62.92381,0.301609,1.038176,0.205945,1057.5,723.25,628.5,578.5,68.75,57,59,45,7388.963492,7085.124603,7332.788095,7164.372222,-3.728571,-9.664286,-3.774603,-7.229365,268.126721,168.147619,398.879683,82.47619,261.355998,99.514286,380.345738,86.3,21.485967,0.485714,17.883833,0.07619,26.44107,2.838095,20.350759,0.057143,1.644275,1.491161,1.213003,1.181685,38.4,34.4,46,8.2,0.552785,0.254054,0.678745,2.349553,Good,Pass
497.514286,684.47619,694.447619,565.933333,39.571429,40.561905,48.904762,45.52381,-528.485714,-513.52381,-513.552381,-587.066667,-64.428571,-57.438095,-73.095238,-60.47619,0.253649,1.043926,0.180369,1049,565.25,541.75,500.5,54.25,50.25,71,47,7403.947619,7180.365079,7235.885714,7321.888095,-7.385714,-8.707143,-8.563492,-5.546825,349.276105,153.904762,347.037175,66.02381,358.773773,115.366667,317.762958,54.628571,18.566381,2.514286,18.196743,-0.842857,24.393141,4.47619,20.776008,-2.171429,1.825005,1.644182,1.572976,1.525862,9.6,37.2,6.2,2.2,0.947807,0.331739,0.872879,2.494278,Good,Pass
372.438095,520.857143,541.104762,360.438095,33.92381,48.67619,54.447619,50.533333,-514.561905,-484.142857,-528.895238,-521.561905,-72.07619,-63.32381,-76.552381,-57.466667,0.148577,1.033711,0.101418,1231,886.25,527.5,523,53,58.25,71.25,41,7517.333333,7438.164286,7473.475397,7590.293651,-6.293651,-5.213492,-6.644444,-2.261111,300.092628,161.142857,274.51539,66.338095,304.774551,103.485714,261.622781,81.1,19.626203,2.190476,19.625451,-0.704762,24.779309,3.733333,21.410213,-1.390476,1.759658,1.72854,1.578806,1.526795,20.8,6.2,40,2.2,0.709001,0.297507,0.685389,3.752086,Good,Pass
516.390476,550.485714,613.07619,426.8,56.809524,29.619048,65.933333,42.790476,-518.609524,-556.514286,-541.92381,-551.2,-53.190476,-74.380952,-70.066667,-71.209524,0.246832,1.065244,0.178911,958.75,1101.75,812.75,1092.5,74.25,60,58.25,56,7469.4,7500.812698,7332.980159,7554.52381,-4.062698,-9.163492,-4.824603,-7.365079,288.629561,116.971429,379.590147,141.180952,298.799515,51.266667,357.415125,137.266667,22.618579,-0.809524,18.153952,1.895238,25.769076,1.933333,20.682738,3.180952,2.158691,2.073177,2.068989,2.046219,3.4,9.8,5,29.2,1.147916,0.373633,1.211258,6.54209,Good,Pass
469.371429,712.628571,609.333333,554.32381,40.27619,33.942857,48.695238,44.057143,-537.628571,-524.371429,-542.666667,-563.67619,-64.72381,-69.057143,-67.304762,-69.942857,0.267646,0.991818,0.207638,936,863.75,1207.25,545.5,56.5,52.25,60.25,38.25,7296.534921,7125.847619,7299.210317,7281.005556,-4.834127,-8.545238,-5.042063,-5.473016,289.867487,112.309524,355.471959,16.133333,293.068455,74.090476,316.132452,4.409524,19.025523,0.314286,17.883367,-0.733333,23.68064,2.571429,19.801031,-1.609524,2.233478,2.094172,2.031868,1.995595,28,6.8,36,18.8,1.604398,0.362783,1.405762,7.225962,Good,Pass
443.704762,643.8,585.647619,447.666667,49.295238,35.866667,43.714286,31.552381,-542.295238,-502.2,-500.352381,-585.333333,-60.704762,-52.133333,-69.285714,-65.447619,0.242835,0.987787,0.166575,923.5,598.5,850.75,461.25,50,51.25,53.5,28.5,7223.785714,7157.770635,7130.933333,7294.559524,-4.722222,-9.588889,-5.411905,-5.913492,279.076904,122.114286,366.833855,86.571429,285.185991,77.947619,326.832977,63.052381,19.987727,0.714286,15.585335,-0.190476,22.560564,3.714286,17.804446,0.842857,1.95448,1.758547,1.720127,1.45787,37.2,34.4,9.6,35.2,0.742108,0.334563,0.871753,2.256466,Good,Pass
296.038095,528.971429,523.533333,396.095238,51.485714,42.609524,42.87619,49.161905,-453.961905,-460.028571,-423.466667,-527.904762,-60.514286,-64.390476,-69.12381,-57.838095,0.120954,1.167103,0.0729,888.75,540.25,686.75,510,68.25,57,75,51.25,7603.612698,7439.509524,7558.993651,7695.553175,-2.740476,-8.612698,-4.502381,-5.865079,230.619324,113.247619,324.099768,102.628571,249.460602,29.961905,304.782872,103.938095,22.77864,0.152381,18.791656,2.161905,24.92498,2.32381,20.005978,2.295238,2.670103,2.557253,2.310935,2.304043,40.8,7.4,4,8,0.900295,0.433784,1.209835,7.373646,Good,Pass
297.609524,668.857143,467.47619,484.971429,35.142857,31.409524,34.628571,35.295238,-409.390476,-535.142857,-389.52381,-576.028571,-48.857143,-58.590476,-88.371429,-64.704762,0.169145,0.999771,0.109659,706.5,650.5,931.5,1226.5,53,43.25,63.5,38.5,7577.405556,7336.68254,7545.657937,7380.331746,-1.515079,-9.101587,-2.361111,-6.286508,199.078682,102.152381,375.251781,48.966667,213.603645,51.228571,342.047353,39.12381,18.972282,0.142857,16.152359,-0.971429,24.344044,3.638095,19.645351,-1.361905,1.625634,1.553058,1.529334,1.439012,3,1.4,1.8,5.8,0.865298,0.275527,0.898067,5.086343,Good,Pass
453.790476,827.971429,552.771429,602.371429,38.790476,45.92381,65.4,53.028571,-451.209524,-608.028571,-524.228571,-653.628571,-59.209524,-65.07619,-80.6,-75.971429,0.282606,1.069762,0.20909,1203.25,851.25,998.25,676,56.75,60.75,61.5,46.5,7384.845238,7063.627778,7316.150794,7219.811905,-4.17381,-10.511111,-4.238889,-6.371429,245.918257,121.614286,413.846684,9.947619,249.330475,48.033333,365.259063,1.433333,19.912463,1.357143,21.063906,-0.8,25.274641,3.57619,23.420257,-1.695238,2.124807,2.055369,1.923887,1.917479,10,2.4,23.2,38.4,1.351269,0.323651,1.257635,4.749274,Good,Pass
462.904762,608.038095,608.895238,451.657143,60.095238,55.819048,60.571429,54.809524,-579.095238,-607.961905,-577.104762,-598.342857,-62.904762,-66.180952,-64.428571,-69.190476,0.256235,1.083218,0.174504,904.75,978.5,1042.5,444.5,69.75,66.75,74.5,46.75,7298.325397,7286.907143,7272.264286,7405.357143,-4.404762,-8.792857,-4.146032,-5.134921,295.688737,156.133333,363.583708,99.328571,290.028453,96.185714,312.166176,85.880952,23.560525,0.457143,20.497477,0.72381,27.503347,2.580952,22.999344,-0.47619,1.622533,1.519138,1.386965,1.290423,2,12,18.4,3,0.638121,0.256697,0.729695,3.024126,Good,Pass
309.571429,710.695238,496.971429,619.190476,64.428571,65.009524,84.228571,58.466667,-536.428571,-679.304762,-482.028571,-730.809524,-71.571429,-73.990476,-70.771429,-80.533333,0.284146,1.124559,0.193495,813.25,828.75,1065.5,1121.25,62,70,79.5,50.25,7429.523016,7185.196032,7355.353968,7222.479365,-0.802381,-12.707937,-2.159524,-11.211111,209.069432,83.980952,489.518845,169.566667,228.491808,30.614286,471.836145,163.985714,24.379143,-0.304762,22.123993,2.104762,28.042126,1.628571,23.617419,2.552381,2.651585,2.209961,1.412689,1.315224,2.2,44.4,39.2,41.2,0.745066,0.289712,0.775263,3.933777,Good,Pass
277.733333,603.190476,473.771429,410.133333,53.742857,37.609524,80.333333,54.152381,-356.266667,-546.809524,-390.228571,-643.866667,-65.257143,-65.390476,-63.666667,-66.847619,0.124243,1.222686,0.076681,1085.5,618.5,1343.75,484.25,81.5,66.25,82.25,60,7384.94127,7290.97381,7286.92619,7397.25873,-2.933333,-8.275397,-3.815873,-4.93254,178.412484,52.595238,335.296244,105.204762,195.27611,17.514286,309.902132,99.719048,23.108251,0.004762,21.342913,0.209524,26.864432,1.819048,23.254093,-0.752381,3.091903,2.842108,2.24046,2.173799,20.8,0.4,4,44.4,1.076482,0.42604,1.204525,9.501947,Good,Pass
278.028571,619.142857,485.485714,473.152381,52.104762,35.066667,53.266667,44.914286,-479.971429,-532.857143,-534.514286,-594.847619,-60.895238,-54.933333,-58.733333,-65.085714,0.234386,1.038699,0.15016,715,780,852.5,681,62.25,57.5,60.75,52,7607.777778,7202.621429,7531.536508,7371.290476,-2.547619,-9.646825,-3.065873,-6.453968,230.541277,126.685714,362.955267,77.328571,237.174197,61.738095,337.116548,82.57619,21.883338,1.157143,17.476625,0.533333,25.449674,2.457143,20.354687,0.352381,2.14935,1.842122,1.840114,1.813917,6,44.8,0.2,7.4,1.104255,0.333287,1.135275,6.177647,Good,Pass
350.87619,543.52381,540.780952,365.828571,78.847619,49.685714,77.980952,41.495238,-506.12381,-466.47619,-497.219048,-506.171429,-57.152381,-66.314286,-80.019048,-75.504762,0.107262,1.142359,0.057984,772,851.5,468,853.75,63.25,63.25,59.25,45.5,7387.579365,7406.688095,7326.21746,7513.930952,-3.384127,-7.718254,-4.649206,-4.872222,258.533344,129.333333,307.07431,43.295238,271.251735,76.357143,282.395348,35.204762,22.557847,-0.914286,18.640695,0.585714,27.216056,0.628571,19.945511,0.585714,2.59536,2.538362,2.427072,2.391462,32.4,7.8,3.8,28.8,1.327657,0.45386,1.361633,6.648821,Good,Pass
368.028571,686.961905,454.2,532.114286,47.933333,54.057143,52.457143,54.571429,-471.971429,-639.038095,-438.8,-723.885714,-64.066667,-61.942857,-85.542857,-71.428571,0.271704,1.037857,0.202863,1517,901.25,1180.25,622.25,66,55,75.25,47.25,7386.096825,7079.480952,7376.60873,7364.286508,-4.346825,-9.62619,-4.272222,-6.470635,250.207892,152.504762,420.313043,93.404762,248.3946,108.709524,393.297419,99.257143,19.48038,1.990476,18.908948,-0.07619,24.454821,3.480952,22.633669,-1.090476,2.710264,2.640596,2.589373,2.45104,36,31.6,19.6,15.6,1.304781,0.461086,1.425555,6.745957,Good,Pass
565.542857,481.790476,648.428571,370.07619,39.819048,60.952381,66.971429,65.838095,-549.457143,-469.209524,-590.571429,-534.92381,-75.180952,-52.047619,-73.028571,-69.161905,0.225518,1.290422,0.160087,1675,797.5,635.75,588.5,80.25,80,90.75,70,7232.453968,7453.410317,7229.093651,7666.542063,-7.294444,-6.07381,-7.226984,-3.115079,314.99504,101.504762,275.528528,57.385714,329.766594,71.114286,258.509153,55.057143,25.285529,3.090476,23.478044,1.909524,30.074513,2.552381,24.728797,1.219048,3.013504,2.061607,1.997495,1.962944,41.6,0.2,42,43.6,0.906976,0.438813,0.854007,5.066879,Good,Pass
346.971429,533.142857,488.485714,406.8,40.542857,59.752381,45.104762,61.038095,-494.028571,-396.857143,-473.514286,-509.2,-66.457143,-46.247619,-50.895238,-53.961905,0.168573,1.067824,0.113711,1088.25,898,1175.75,661,67.5,66.25,60,61.25,7476.875397,7374.054762,7361.228571,7493.99127,-5.580159,-6.127778,-7.274603,-3.316667,266.56159,157.057143,262.252374,59.657143,267.823425,91.661905,250.033681,66.728571,19.710971,1.333333,20.294314,-1.228571,21.307083,2.228571,21.529725,-1.2,2.780804,2.618551,2.581066,2.325509,1.4,1.6,5.4,7.4,1.230822,0.428772,1.238496,8.938662,Good,Pass
437.771429,600.942857,590.142857,452.27619,51.742857,38.752381,63.438095,39.4,-554.228571,-482.057143,-529.857143,-521.72381,-70.257143,-57.247619,-80.561905,-63.6,0.263863,1.054993,0.181652,846.25,525.25,766.25,506,74.5,53.25,72.5,53,7297.788889,7204.609524,7266.235714,7317.290476,-4.870635,-9.663492,-5.199206,-6.366667,300.282618,149.485714,357.925775,35.942857,291.668609,95.52381,326.513149,37.219048,22.919792,0.742857,16.179622,0.990476,26.65671,2.409524,18.801917,0.4,1.617001,1.5553,1.510373,1.482391,34.4,25.6,29.6,6.2,0.866404,0.315699,0.862332,2.781911,Good,Pass
437.066667,396.295238,588.438095,283.628571,42.704762,36.114286,54.257143,38.019048,-532.933333,-398.704762,-517.561905,-424.371429,-64.295238,-62.885714,-75.742857,-61.980952,0.13671,1.038689,0.08388,894.75,522,916.5,953.25,66.5,54.5,65.75,47.5,7500.931746,7681.75,7346.883333,7699.999206,-5.165873,-7.016667,-6.037302,-4.666667,293.882498,109.352381,273.449884,116.442857,302.588645,74.371429,248.711802,102.419048,20.179397,-0.657143,15.396354,1.4,24.248629,3.090476,17.389129,1.009524,2.760337,2.460208,2.37628,2.369278,0.2,0.4,7.4,1.4,1.467287,0.442383,1.411325,10.106148,Good,Pass
244.838095,528.133333,354.180952,363.857143,49.704762,26.161905,43.390476,30.628571,-370.161905,-544.866667,-363.819048,-480.142857,-48.295238,-59.838095,-49.609524,-53.371429,0.197943,0.907914,0.129323,550.5,568,578.25,527,56.25,49.25,57.25,34,7605.863492,7376.696825,7505.179365,7573.626984,-0.290476,-10.472222,-1.44127,-7.112698,163.465733,81.97619,366.102055,149.590476,176.922321,38.619048,317.152018,141.766667,19.260601,-0.67619,15.156614,2.890476,21.226554,1.428571,16.519688,2.771429,2.045873,1.997372,1.949827,1.792095,27.2,2.2,23.2,43.2,1.041619,0.352862,1.010066,4.26032,Good,Pass
628.961905,520.980952,732.47619,421.657143,44.980952,47.361905,73.895238,52.190476,-520.038095,-450.019048,-532.52381,-461.342857,-66.019048,-51.638095,-99.104762,-101.809524,0.244619,1.238244,0.169236,1450.75,623,756,563.5,76.25,69.25,102,66.5,7106.220635,7416.631746,7052.787302,7561.57619,-8.944444,-7.330159,-9.366667,-4.769048,326.772665,103.72381,317.505851,62.685714,347.775856,81.142857,289.796246,19.32381,21.850295,1.97619,21.255468,1.180952,30.833521,3.004762,23.933646,2.447619,2.420481,2.35849,2.286611,1.94846,22.4,30.4,14.4,6.2,0.330756,0.459677,0.718653,3.688877,Good,Pass
357.27619,551.504762,533.761905,397.342857,58.228571,68.390476,66.704762,54.038095,-554.72381,-564.495238,-613.238095,-546.657143,-74.771429,-63.609524,-75.295238,-73.961905,0.198268,1.191603,0.123888,890.5,791.25,943.5,1114.75,77,78,73.25,65.25,7374.353175,7258.045238,7269.178571,7361.965079,-4.820635,-6.746825,-5.150794,-4.154762,299.799044,148.119048,306.6186,36.757143,307.029486,117.433333,281.969728,50.971429,24.177669,1.119048,23.369163,0.52381,27.245746,3.152381,24.431939,0.27619,2.189812,2.154533,2.064727,1.946797,0.2,1.6,20.8,1.8,1.048032,0.335212,1.128985,8.119831,Good,Pass
368.019048,748.285714,501.333333,609.866667,50.314286,40.247619,49.419048,37.619048,-437.980952,-587.714286,-448.666667,-595.133333,-52.685714,-51.752381,-73.580952,-62.380952,0.241918,1.089223,0.16763,946.5,964.5,971.75,1184.25,60.25,60.75,71.5,50,7525.122222,7132.885714,7475.040476,7194.757143,-2.006349,-10.420635,-2.539683,-8.211111,208.978091,76.228571,395.209563,77.585714,221.150382,38.257143,359.91976,73.528571,19.991585,-0.938095,17.835267,-0.380952,24.903268,2.87619,20.243079,-0.380952,2.064299,1.579525,1.511564,1.503802,7.4,38,1.6,7.8,0.843815,0.290747,0.928994,5.726958,Good,Pass
373.466667,771.866667,546.533333,628.828571,84.457143,80.771429,80.742857,89.885714,-698.533333,-687.133333,-586.466667,-730.171429,-87.542857,-61.228571,-76.257143,-65.114286,0.251905,1.311117,0.178777,1253.5,893.5,1302.25,486.25,96.5,85.5,73.25,69.25,7428.819841,7053.009524,7327.223016,7278.247619,-1.872222,-10.64127,-2.83254,-7.578571,279.13224,141.542857,437.939494,123.366667,280.605831,78.633333,403.179152,85.52381,28.637837,0.457143,25.164984,-0.152381,29.971299,0.733333,27.21881,-0.114286,2.471137,2.405438,1.993758,1.92518,9,5,1,40,1.036415,0.377091,0.993261,4.45038,Good,Pass
663.142857,424.542857,825.457143,317.561905,47.07619,51.809524,54.27619,55.52381,-614.857143,-453.457143,-572.542857,-525.438095,-76.92381,-57.190476,-82.72381,-50.47619,0.241021,1.14016,0.172329,1475.25,636.75,721.25,504,59.5,56,67,49,6998.130159,7338.857143,6939.202381,7486.463492,-9.23254,-4.618254,-9.451587,-2.096825,396.103805,91.852381,250.629,53.409524,397.063539,85.690476,244.168441,65.533333,21.52658,-0.333333,19.100671,-1.142857,26.629051,2.72381,21.481638,-0.47619,2.095583,1.800209,1.791409,1.694099,14.4,46.4,22.4,45.2,0.761476,0.331892,0.81237,3.871421,Good,Pass
579.780952,376.047619,834.133333,212.438095,50.504762,68.771429,48.171429,61.580952,-586.219048,-413.952381,-533.866667,-427.561905,-67.495238,-64.228571,-86.828571,-72.419048,0.270096,1.169182,0.182001,1217.5,884.25,1123,610.5,81.25,72.25,83.25,68.5,7013.584127,7616.849206,6942.137302,7703.752381,-8.55,-3.974603,-9.379365,-1.24127,379.3171,100.9,204.551854,68.528571,394.608308,67.585714,190.661146,72.909524,22.951669,1.157143,21.618501,0,27.782062,2.847619,23.106067,0.580952,2.353501,2.245477,2.195816,2.063311,10.8,41.6,10.4,10,1.119278,0.361295,1.135104,6.477279,Good,Pass
697.409524,410.52381,915.085714,258.438095,55.67619,41.695238,56.161905,53.514286,-704.590476,-417.47619,-650.914286,-507.561905,-58.32381,-67.304762,-59.838095,-61.485714,0.258304,1.160301,0.173549,706.5,974.75,756,533.5,65.25,63.5,62.5,48.75,7196.418254,7750.520635,7164.826984,7851.29127,-10.157143,-3.46746,-11.219048,-0.577778,458.035341,110.809524,233.568211,71.5,467.140737,75.409524,224.104712,106.747619,21.982036,0.07619,21.265443,1.038095,25.272112,1.157143,22.539744,0.495238,1.97349,1.971541,1.699401,1.693041,41.6,0.2,4,12,0.670925,0.313538,0.795116,4.491838,Good,Pass
587.742857,275.028571,766.266667,380.209524,43.314286,50.314286,49.352381,37.695238,-597.257143,-205.971429,-601.733333,-357.790476,-63.685714,-52.685714,-56.647619,-70.304762,0.37534,1.068845,0.153083,1191,719.25,741,541.5,66.25,67.25,78.5,58.25,7398.737302,7959.153175,7199.876984,8094.892063,-10.214286,1.807143,-11.92381,4.219841,415.431868,157.304762,111.761437,-0.085714,433.608218,136.62381,152.159188,-11.047619,19.7768,2.380952,19.499628,1.4,24.844256,3.961905,21.717079,0.609524,2.666498,2.476381,2.412034,2.003327,2.2,6.2,20.8,21.2,0.775573,0.372715,0.780085,2.862331,Good,Pass
347.857143,500.980952,533.790476,376.47619,60.695238,43.87619,63.295238,53.095238,-466.142857,-473.019048,-454.209524,-543.52381,-49.304762,-63.12381,-68.704762,-58.904762,0.211754,1.036082,0.134408,762,747,565.5,1172,65.25,64.25,69.75,57.25,7330.642857,7420.046825,7337.478571,7556.121429,-1.842857,-8.765873,-3.078571,-6.437302,226.861333,89.528571,335.416211,134.27619,240.701374,49.7,314.737015,119.07619,22.019571,-2.666667,18.063457,1.571429,24.785414,0.485714,20.267629,1.1,2.058854,2.051659,1.976387,1.865647,1.8,0.2,1.2,47.2,0.96166,0.33119,1.0717,7.308841,Good,Pass
351.952381,723.390476,493.314286,612.304762,45.352381,57.038095,62.552381,64.904762,-493.047619,-672.609524,-506.685714,-698.695238,-55.647619,-62.961905,-58.447619,-55.095238,0.252194,1.159469,0.180992,1028.25,886,1393.75,461.5,63.75,65.25,61.5,48,7554.551587,7270.843651,7503.484921,7377.322222,-3.054762,-11.1,-3.94127,-8.538889,246.384499,120.033333,469.096921,101.861905,240.605848,52.771429,446.50581,71.5,21.728298,-0.390476,20.369783,0.895238,25.298527,1.580952,22.953191,-0.371429,2.46159,2.03243,1.722541,1.676123,6.2,34.4,40.4,31.2,0.818549,0.324212,0.858872,4.291926,Good,Pass
293.752381,581.590476,512.361905,470.533333,60.933333,53.647619,73.809524,61.47619,-429.247619,-589.409524,-432.638095,-665.466667,-86.066667,-66.352381,-67.190476,-71.52381,0.211824,1.183293,0.139447,722,640.5,1053.25,864.5,77.25,71.25,67,65,7341.000794,7207.314286,7510.799206,7326.361111,-1.420635,-9.430159,-2.80873,-7.161905,208.332046,88.838095,400.712753,104.880952,227.27197,36.790476,387.200266,89.761905,24.609975,-0.928571,23.241481,1.380952,27.414754,0.07619,25.347831,1.742857,2.16002,1.887892,1.85792,1.67598,41.6,0.2,44.4,29.6,0.954831,0.30867,0.987006,7.207107,Good,Pass
