diska,hyb,res3,res18,res14,res7,res20
30,4,1914,189,1642,1667,2435
30,5,1894,410,1748,1820,2664
30,6,1867,382,1393,1820,2222
31,1,2240,1254,1571,1927,1788
31,2,2047,1187,1485,1980,2128
31,3,1900,907,2075,1860,2537
31,4,2000,834,1976,1840,2409
31,5,2094,1014,1528,1947,2469
31,6,2034,1014,1372,1827,2043
32,1,2140,1320,974,2074,1124
32,2,1974,887,1379,1994,1320
32,3,1914,500,1564,1874,2205
32,4,2000,680,1592,1840,2128
32,5,2074,1000,1336,1987,2647
32,6,2147,1094,1201,1940,2188
