Fat.grams,FoodEnergy.calories,Carbohydrates.grams,Protein.grams,Cholesterol.mg,Weight.grams,SaturatedFat.grams
23,455,59,3,8,152,15
12,235,27,5,13,57,3.5
13,235,28,4,56,65,3.9
12,220,26,4,49,57,3.6
0,230,61,2,0,83,0.1
8,235,40,3,37,69,3.5
12,210,24,3,20,50,2.8
13,235,26,4,21,60,5.2
4,210,42,2,27,56,1
18,180,4,4,0,28.35,1.3
13,145,1,5,23,45,4.8
7,155,17,6,112,65,1.6
14,255,31,2,14,85,5.8
14,250,32,2,13,85,5.8
7,165,25,2,20,43,1.5
28,315,10,7,89,242,17.3
11,245,28,12,32,98,4.4
20,240,14,5,52,259,11.6
14,270,32,5,59,133,8.9
24,350,32,4,88,148,14.7
6,185,29,5,18,131,3.5
19,240,17,1,0,75,16.3
16,185,11,1,0,70,13.2
10,150,13,3,8,80,8.5
13,115,0,0,12,13,5.1
14,355,53,5,143,140,4.3
10,960,17,10,0,134,15.4
22,205,4,2,0,28.35,3.2
10,960,17,10,0,134,15.4
22,205,4,2,0,28.35,3.2
9,145,16,2,6,28.35,5.4
10,150,15,3,5,28.35,4.8
11,155,13,4,5,28.35,4.2
7,140,18,2,6,28.35,4.4
15,170,7,5,0,28.35,2
15,170,7,5,0,28.35,2
16,175,6,5,0,28.35,2.5
16,175,6,5,0,28.35,2.5
9,105,0,7,27,28.35,5.4
11,220,26,6,5,45,2.1
10,245,36,3,2,52,2.5
9,130,1,12,22,28.35,5.4
7,95,1,7,24,28.35,4.5
9,105,0,6,27,28.35,5.6
7,95,2,6,18,28.35,4.4
17,405,60,4,0,158,4.1
14,245,28,4,22,48,4
14,165,5,8,0,28.35,1.9
14,165,5,8,0,28.35,1.9
32,575,71,7,95,138,4.7
19,190,5,2,0,28.35,1.5
17,160,5,3,0,28.35,2.7
14,165,7,6,0,28.35,1.7
9,110,0,6,16,19,3.3
4,85,1,11,27,46,1.3
13,140,1,5,26,42,4.5
7,95,0,7,21,42,2.4
3,75,1,11,27,57,0.9
6,105,2,10,32,57,1.9
18,340,44,5,0,156,7
12,235,32,4,29,210,7.2
8,160,20,2,0,50,2.5
5,110,15,2,64,29,3
2,240,48,6,0,60,0.4
8,100,1,7,20,28.35,4.8
11,205,30,3,1,142,9.5
5,160,28,3,0,142,4.8
10,220,33,2,1,142,9.5
13,155,5,7,0,28.35,2.5
17,320,37,6,109,152,6.4
8,400,72,11,0,135,1.8
11,145,1,8,37,57,4.6
8,195,29,2,0,40,2
1,440,93,12,0,125,0.2
14,445,77,4,70,121,4.6
12,315,48,4,61,86,3.3
8,155,20,2,27,32,2.9
12,235,31,2,29,48,2.3
0,385,100,0,0,100,0
14,160,5,6,0,28.35,1.5
10,150,16,1,0,28.35,5.9
8,105,1,8,26,28.35,5
11,195,15,9,21,81,4.1
6,210,38,2,0,54,1.7
3,75,0,11,32,57,1
12,180,10,9,40,64,3
7,185,29,2,25,40,1.8
13,245,26,7,102,75,4
8,205,27,7,59,75,2.7
16,170,3,7,0,28.35,1
18,180,5,4,0,28.35,1.6
1,420,88,12,0,115,0.2
1,455,95,13,0,125,0.2
13,155,7,2,46,60,8.3
9,260,42,3,3,71,2.1
30,395,24,10,32,250,9.1
2,400,85,16,0,120,0.3
8,235,40,3,36,69,3
11,245,39,2,38,69,5.7
70,795,28,27,0,135,6.7
92,810,0,1,247,113,57.1
92,810,0,1,247,113,57.1
63,785,45,21,0,137,12.5
63,785,45,21,0,137,12.5
63,750,37,21,0,130,12.4
63,750,37,21,0,130,12.4
37,455,1,28,119,113,23.8
31,525,40,30,104,194,15.1
31,545,42,23,56,232,10.3
33,470,44,3,0,93,29.3
71,1305,152,21,292,340,21.8
72,725,18,15,0,115,5.3
39,415,11,8,13,235,31.2
46,470,9,6,159,240,28.8
88,785,1,1,0,227,17.5
91,810,1,1,0,113,17.9
69,610,0,1,0,113,15.9
13,1225,0,1,0,227,29.1
21,1910,0,0,0,216,29.2
71,840,27,39,0,145,9.9
71,840,27,39,0,145,9.9
73,720,20,8,0,108,5.9
93,1485,141,20,0,320,22.7
60,900,79,11,0,180,14.8
48,600,29,13,285,176,23.2
61,860,97,7,0,170,36.2
48,495,10,7,102,230,30
21,1925,0,0,0,218,39.2
21,1925,0,0,0,218,32.5
21,1925,0,0,0,218,22.5
71,760,15,30,0,125,4.5
74,770,22,17,0,120,6.7
88,820,7,5,326,238,54.8
74,700,7,5,265,239,46.2
2,1510,342,38,0,635,0.4
105,2420,360,21,0,945,27.4
102,2285,330,23,0,945,25.5
107,2465,363,25,0,945,28.4
41,1385,225,27,279,430,11.8
16,1190,227,42,0,454,3.1
18,1270,230,43,0,454,3.8
39,1575,291,18,6,570,9.6
0,1030,279,1,0,339,0
45,1470,232,41,146,1048,28.1
4,1255,256,41,0,454,0.6
17,1165,212,45,0,454,3.2
20,1145,212,38,0,454,3.7
101,2410,361,24,0,945,24.6
16,1160,218,42,0,454,2.6
18,1260,239,37,0,454,4.1
17,1190,218,38,0,454,3.3
31,2160,469,17,113,1542,19
27,980,166,24,104,306,16.8
19,1160,213,43,0,454,3.9
18,1210,222,38,0,454,5.6
20,1110,206,44,0,454,5.8
0,115,29,0,0,248,0
0,195,51,0,0,255,0.1
0,105,28,0,0,244,0
1,125,32,0,0,212,0.1
0,140,36,1,0,251,0
0,120,31,2,0,248,0
0,210,55,3,0,250,0
1,310,80,5,0,130,0
0,215,55,1,0,258,0
27,340,27,5,0,304,5.3
2,700,158,16,0,200,0.3
6,170,23,8,3,253,1.5
12,385,54,16,10,255,4.3
7,310,48,16,10,255,2.4
5,125,11,9,7,233,2.7
3,85,9,5,5,244,1.1
0,95,5,1,0,355,0
0,150,13,1,0,360,0
1,190,35,13,0,250,0.2
1,225,41,15,0,171,0.1
1,180,30,13,0,165,0.3
1,225,40,14,0,170,0.3
0,185,50,1,0,230,0
0,230,62,1,0,284,0
2,80,14,3,2,261,0.9
2,100,12,8,9,245,1.3
1,95,22,2,0,267,0.1
0,255,126,6,0,140,0
1,290,69,5,0,273,0.2
0,90,22,2,0,244,0.1
3,350,76,5,0,143,0.6
0,95,18,7,8,250,0.1
2,85,14,3,3,260,0.5
14,190,13,5,5,238,3.4
2,75,9,4,7,241,0.7
2,60,7,4,7,241,0.5
4,270,45,15,0,163,0.4
3,160,26,8,7,250,1.5
5,180,26,8,17,250,3.1
8,210,26,8,31,250,5.3
2,80,12,4,2,244,0.4
7,165,17,9,22,248,3
0,0,0,0,0,355,0
9,225,30,9,33,265,5.4
1,100,22,3,1,206,0.6
0,0,0,0,0,355,0
0,0,0,0,0,355,0
0,0,0,0,0,355,0
0,160,41,0,0,369,0
0,145,31,3,0,242,0
0,145,31,3,0,242,0
0,145,31,3,0,242,0
0,145,31,3,0,242,0
0,120,26,3,0,240,0
1,185,46,4,0,256,0.2
1,185,46,4,0,256,0.2
1,185,46,4,0,256,0.2
1,185,46,4,0,256,0.2
0,135,34,5,0,165,0
0,135,34,5,0,165,0
1,165,41,5,0,210,0.2
1,165,41,5,0,210,0.2
1,165,41,5,0,210,0.2
1,165,41,5,0,210,0.2
7,115,9,3,10,244,2.1
11,190,15,7,27,248,4.6
9,130,9,2,2,244,2.4
14,205,15,6,20,248,5.1
0,145,38,0,0,253,0
0,420,108,1,0,277,0
0,140,29,4,0,244,0.1
0,140,29,4,0,244,0.1
0,140,29,4,0,244,0.1
0,140,29,4,0,244,0.1
1,490,131,4,0,178,0.3
1,200,29,19,9,255,0.3
2,475,122,6,0,187,0.4
0,185,48,1,0,255,0
0,115,29,1,0,248,0
0,125,32,0,0,366,0
0,155,38,1,0,253,0.1
0,180,46,0,0,372,0
1,300,72,4,0,207,0.1
0,100,24,1,0,247,0
0,115,28,1,0,250,0
0,95,22,1,0,247,0
0,95,23,1,0,247,0
0,150,39,1,0,254,0
1,385,96,1,0,216,0.2
0,125,32,0,0,250,0.1
1,210,38,14,0,180,0.1
5,225,38,8,13,175,2.9
0,155,39,0,0,372,0
1,50,16,1,0,244,0.1
0,60,21,1,0,244,0
1,55,16,1,0,244,0.1
0,425,112,0,0,219,0
1,215,38,16,0,200,0.1
1,70,11,5,0,539,0.1
1,260,49,16,0,190,0.2
1,190,35,12,0,180,0.1
1,170,32,10,0,170,0.1
0,65,22,1,0,246,0
1,50,16,1,0,246,0.1
0,410,108,0,0,218,0
10,230,26,9,24,240,4.7
0,120,26,4,0,240,0
0,120,26,4,0,240,0
9,235,29,9,34,265,5.5
10,235,27,11,37,265,6
1,135,35,1,0,207,0.1
2,105,12,9,10,245,1.5
3,100,12,8,10,244,1.6
5,125,12,9,18,245,2.9
5,120,12,8,18,244,2.9
1,90,12,9,5,245,0.4
0,85,12,8,4,245,0.3
8,150,11,8,33,244,5.1
3,80,11,4,2,241,0.6
6,120,13,3,0,238,1
2,200,37,7,50,160,0.5
2,160,31,5,0,164,0.3
2,145,25,6,0,234,0.4
2,145,25,6,0,234,0.4
0,105,25,1,0,249,0
1,110,25,2,0,249,0.1
0,110,26,2,0,248,0.1
0,340,81,5,0,213,0.1
0,110,27,2,0,249,0
0,180,46,0,0,372,0
0,105,25,1,0,247,0
1,225,40,15,0,190,0.1
0,190,51,1,0,256,0
0,110,29,2,0,248,0
1,380,98,6,0,160,0.1
1,200,51,3,0,258,0.1
0,235,60,2,0,250,0
0,265,68,2,0,284,0
0,190,49,1,0,255,0
0,125,32,1,0,248,0
1,120,30,1,0,200,0
1,115,21,8,0,170,0.1
1,115,21,8,0,170,0.1
1,230,42,16,0,200,0.1
3,165,27,9,0,250,1.4
0,160,41,0,0,369,0
0,140,34,1,0,250,0
0,200,52,1,0,255,0
0,150,39,1,0,250,0
1,265,49,15,0,180,0.1
0,180,48,1,0,154,0.1
1,220,57,2,0,179,0.3
0,230,60,1,0,258,0
0,145,38,1,0,252,0
10,230,31,6,12,245,6.3
0,220,51,5,0,202,0.1
9,225,35,4,4,210,2.2
1,160,37,4,4,210,0.7
11,230,31,5,27,245,6.5
9,210,26,7,29,245,5.5
0,180,45,2,0,256,0
0,225,60,2,0,212,0
1,85,20,3,0,245,0.4
0,50,12,2,0,245,0.1
1,435,115,5,0,145,0.2
0,255,65,2,0,250,0
0,295,74,2,0,284,0
1,230,42,15,0,255,0.1
3,295,51,18,0,290,0.4
0,280,75,1,0,240,0
1,230,50,5,0,195,0.3
0,225,50,4,0,205,0.1
0,180,40,4,0,165,0.1
0,185,41,4,0,175,0
1,685,150,14,0,185,0.1
1,670,149,12,0,185,0.2
0,165,42,0,0,370,0
0,45,10,2,0,236,0.1
8,335,60,9,30,283,4.8
9,315,50,11,33,283,5.3
4,270,59,2,14,193,2.4
2,190,39,6,3,250,0.4
9,260,37,9,8,250,3
10,260,29,12,23,250,2.4
1,50,7,6,0,214,0.2
1,50,7,6,0,214,0.2
0,245,66,1,0,255,0
0,275,74,2,0,284,0
0,820,212,0,0,220,0
0,770,199,0,0,200,0
1,260,59,5,0,255,0.1
0,125,30,1,0,249,0
0,155,41,1,0,252,0
0,85,22,0,0,262,0
0,40,10,2,0,244,0
0,40,10,2,0,244,0
2,220,49,10,0,262,0.3
2,220,49,10,0,262,0.3
0,105,25,4,0,250,0
0,105,25,4,0,250,0
0,75,18,3,0,245,0.1
6,160,22,6,17,248,2.9
2,85,17,2,0,244,0.4
1,50,10,2,0,240,0.1
1,50,10,2,0,240,0.1
2,80,10,6,5,244,0.9
0,45,11,2,0,242,0
0,105,24,5,0,182,0.1
2,70,12,2,0,241,0.3
2,155,35,3,0,482,0.3
13,240,21,10,34,264,6.4
4,145,16,12,14,227,2.3
2,230,43,10,10,227,1.6
0,125,17,13,4,227,0.3
7,140,11,8,29,227,4.8
0,65,16,0,0,110,0.1
0,80,21,0,0,138,0.1
0,40,10,1,0,84,0
0,50,12,1,0,106,0
0,70,18,0,0,85,0
0,55,12,3,0,120,0
1,50,9,5,0,180,0.2
1,45,8,5,0,180,0.1
1,25,4,2,0,131,0.1
1,105,27,1,0,114,0.2
1,140,35,2,0,150,0.3
0,25,5,3,0,124,0
0,30,6,3,0,104,0
1,15,0,3,0,240,0.3
0,40,8,4,0,144,0
0,55,12,2,0,170,0
0,55,12,2,0,170,0
0,55,11,2,0,170,0
0,30,7,1,0,100,0
1,75,18,1,0,144,0.2
1,80,20,1,0,145,0
0,50,10,6,0,185,0
1,40,8,4,0,151,0.1
0,45,9,5,0,155,0.1
1,50,10,5,0,180,0.1
1,65,13,6,0,155,0.1
1,60,13,4,0,155,0.2
0,20,3,3,0,170,0
0,30,7,1,0,150,0
0,35,8,1,0,146,0.1
0,35,8,1,0,146,0.1
0,55,12,2,0,146,0
0,70,16,2,0,156,0.1
0,45,11,1,0,110,0
0,35,7,3,0,180,0.1
0,30,6,2,0,125,0
0,25,5,2,0,100,0
0,20,4,1,0,120,0
1,40,6,2,2,188,0.2
1,65,2,11,43,85,0.3
0,0,0,0,0,180,0
0,0,1,0,0,182,0
1,60,12,5,0,170,0.1
0,25,5,2,0,190,0.1
0,80,18,2,0,137,0
0,100,21,3,0,142,0
1,35,7,2,0,105,0.1
0,25,6,1,0,96,0
0,85,22,0,0,190,0
0,70,17,2,0,120,0
0,100,26,0,0,187,0
0,40,10,1,0,120,0
0,40,10,1,0,120,0
4,95,7,8,26,142,1.2
0,45,12,1,0,129,0
0,115,26,3,0,150,0
1,40,7,4,0,130,0.1
1,40,7,2,0,130,0.1
0,50,11,3,0,165,0
0,80,21,0,0,185,0
0,20,4,2,0,163,0
0,20,3,1,0,135,0
0,75,20,0,0,185,0
1,190,39,7,0,130,0.1
1,155,32,5,0,140,0.1
0,115,24,4,0,105,0.1
0,35,8,3,0,156,0.1
1,40,8,3,0,156,0.1
0,20,3,3,0,140,0
1,65,16,1,0,136,0.1
2,105,18,4,0,177,0.3
0,25,6,2,0,85,0
0,20,4,1,0,184,0.1
0,55,12,2,0,160,0.1
0,60,13,2,0,210,0.1
0,40,8,1,0,115,0.1
0,60,15,1,0,131,0
0,85,21,2,0,180,0
0,65,17,1,0,140,0.1
0,125,30,2,0,156,0.1
0,35,10,1,0,87,0
0,75,19,1,0,170,0
1,100,25,1,0,166,0
1,85,21,1,0,141,0
0,65,11,5,0,160,0.1
0,125,23,8,0,160,0.1
0,90,23,0,0,187,0
1,75,19,1,0,155,0
0,120,31,0,0,133,0
0,55,14,0,0,95,0
0,70,18,0,0,95,0
0,145,34,3,0,156,0
0,120,27,3,0,136,0
0,115,27,2,0,135,0
4,150,25,4,15,130,2.4
4,155,27,4,14,130,2.3
4,155,27,4,15,132,2.3
4,145,25,4,15,130,2.3
4,145,25,4,15,130,2.3
4,150,27,4,15,130,2.2
1,60,14,1,0,123,0
0,25,6,2,0,135,0
0,25,6,2,0,135,0
0,25,6,2,0,135,0
0,25,6,2,0,135,0
0,35,8,2,0,135,0
0,35,8,2,0,135,0
0,45,10,2,0,125,0.1
0,45,10,2,0,125,0.1
1,190,39,7,0,130,0.1
1,155,32,5,0,140,0.1
0,55,10,6,0,190,0.1
0,40,7,5,0,180,0.1
1,35,8,2,0,180,0.1
1,80,18,2,0,205,0.3
1,45,10,1,0,149,0
0,115,28,2,0,114,0
0,160,37,2,0,151,0.1
3,145,29,1,8,105,1.4
0,35,9,1,0,84,0
0,0,0,0,0,240,0
0,0,1,0,0,241,0
5,85,3,9,0,120,0.7
1,40,8,1,0,189,0.3
0,25,5,1,0,123,0
1,50,8,5,0,164,0.2
0,30,6,2,0,144,0.1
0,30,8,1,0,156,0
0,75,15,4,0,163,0.1
0,70,17,1,0,140,0
1,50,11,1,0,160,0.1
0,140,8,0,0,103,0
0,75,3,0,0,102,0
0,80,3,0,0,102,0
18,365,32,19,30,255,7.4
11,220,15,16,71,245,4.4
5,150,0,24,164,85,1.2
7,185,7,23,410,85,2.5
30,515,39,21,42,210,7.9
5,135,0,22,52,75,1.9
12,205,0,23,62,85,4.9
9,150,0,17,49,61,3.6
26,315,0,19,72,85,10.8
6,150,0,22,64,72,2.6
15,240,0,23,77,85,6.4
10,185,0,22,80,85,4.2
8,175,0,25,75,78,2.7
13,220,0,25,81,85,4.8
9,170,0,19,66,62,3.9
26,325,0,22,87,85,10.8
4,145,0,24,46,72,1.8
7,465,59,41,83,120,4.3
17,305,23,16,53,279,9.3
15,300,28,15,44,112,7.3
18,280,26,5,170,92,9.9
34,470,12,27,221,245,12.9
18,365,26,22,103,240,5.1
10,255,10,31,75,250,4.1
11,235,0,31,88,142,3.1
18,365,13,35,119,140,4.9
11,195,6,16,62,72,3
9,220,2,31,87,98,2.4
7,120,1,13,44,49,1.8
3,140,0,27,73,86,0.9
2,75,0,12,41,44,0.7
9,250,0,38,116,140,2.6
16,340,31,19,28,255,5.8
17,300,13,26,68,250,4.3
2,85,2,13,54,85,0.5
10,235,6,28,34,225,6.4
9,215,6,26,31,210,6
8,280,30,22,25,226,4.9
4,205,8,31,19,226,2.8
1,125,3,25,10,145,0.4
3,135,1,23,135,135,0.5
17,330,36,9,169,152,5.6
15,305,29,14,278,265,6.8
25,445,0,52,197,221,9.2
19,340,34,10,149,254,11.3
7,90,1,6,211,46,1.9
5,75,1,6,213,50,1.6
5,75,1,6,212,50,1.5
7,100,1,7,215,61,2.2
5,75,1,6,213,50,1.6
5,60,0,3,213,17,1.6
16,235,24,20,19,230,7.7
18,360,31,18,213,138,8
19,340,25,17,74,252,11.6
27,470,41,18,91,170,6.3
23,420,39,16,56,140,6.3
6,120,0,16,68,85,3.2
6,120,0,16,55,85,1.2
1,80,0,17,59,85,0.3
16,230,0,21,74,85,6.2
18,245,0,20,76,85,6.9
9,175,7,17,75,85,2.4
6,140,0,20,62,85,3.3
21,445,38,25,71,174,7.1
13,190,0,17,85,85,4.3
23,375,38,7,153,173,13.5
7,130,0,15,50,57,3.2
26,315,0,18,77,85,12.1
7,135,0,17,59,48,2.9
15,220,0,20,77,63,6.9
6,140,0,19,60,64,2.6
16,235,0,22,78,80,7.3
6,140,0,20,65,73,2.4
